desc1,desc2,value,date
Carcase meat,Beef and veal,189,1974
Carcase meat,Beef and veal,215,1975
Carcase meat,Beef and veal,196,1976
Carcase meat,Beef and veal,209,1977
Carcase meat,Beef and veal,211,1978
Carcase meat,Beef and veal,212,1979
Carcase meat,Beef and veal,208,1980
Carcase meat,Beef and veal,179,1981
Carcase meat,Beef and veal,181,1982
Carcase meat,Beef and veal,169,1983
Carcase meat,Beef and veal,161,1984
Carcase meat,Beef and veal,167,1985
Carcase meat,Beef and veal,169,1986
Carcase meat,Beef and veal,173,1987
Carcase meat,Beef and veal,163,1988
Carcase meat,Beef and veal,155,1989
Carcase meat,Beef and veal,134,1990
Carcase meat,Beef and veal,137,1991
Carcase meat,Beef and veal,127,1992
Carcase meat,Beef and veal,120,1993
Carcase meat,Beef and veal,118,1994
Carcase meat,Beef and veal,109,1995
Carcase meat,Beef and veal,93,1996
Carcase meat,Beef and veal,101,1997
Carcase meat,Beef and veal,100,1998
Carcase meat,Beef and veal,101,1999
Carcase meat,Beef and veal,113,2000
Carcase meat,Beef and veal,118,2001
Carcase meat,Beef and veal,118,2002
Carcase meat,Beef and veal,119,2003
Carcase meat,Beef and veal,123,2004
Carcase meat,Beef and veal,120,2005
Carcase meat,Beef and veal,128,2006
Carcase meat,Beef and veal,126,2007
Carcase meat,Beef and veal,111,2008
Carcase meat,Beef and veal,112,2009
Carcase meat,Beef and veal,114,2010
Carcase meat,Beef and veal,112,2011
Carcase meat,Beef and veal,104,2012
Carcase meat,Beef and veal,97,2013
Carcase meat,Beef and veal,101,2014
Carcase meat,Mutton and lamb,113,1974
Carcase meat,Mutton and lamb,119,1975
Carcase meat,Mutton and lamb,119,1976
Carcase meat,Mutton and lamb,112,1977
Carcase meat,Mutton and lamb,110,1978
Carcase meat,Mutton and lamb,121,1979
Carcase meat,Mutton and lamb,128,1980
Carcase meat,Mutton and lamb,120,1981
Carcase meat,Mutton and lamb,100,1982
Carcase meat,Mutton and lamb,109,1983
Carcase meat,Mutton and lamb,93,1984
Carcase meat,Mutton and lamb,92,1985
Carcase meat,Mutton and lamb,85,1986
Carcase meat,Mutton and lamb,75,1987
Carcase meat,Mutton and lamb,78,1988
Carcase meat,Mutton and lamb,84,1989
Carcase meat,Mutton and lamb,82,1990
Carcase meat,Mutton and lamb,85,1991
Carcase meat,Mutton and lamb,70,1992
Carcase meat,Mutton and lamb,66,1993
Carcase meat,Mutton and lamb,54,1994
Carcase meat,Mutton and lamb,54,1995
Carcase meat,Mutton and lamb,65,1996
Carcase meat,Mutton and lamb,55,1997
Carcase meat,Mutton and lamb,58,1998
Carcase meat,Mutton and lamb,56,1999
Carcase meat,Mutton and lamb,54,2000
Carcase meat,Mutton and lamb,51,2001
Carcase meat,Mutton and lamb,51,2002
Carcase meat,Mutton and lamb,49,2003
Carcase meat,Mutton and lamb,50,2004
Carcase meat,Mutton and lamb,53,2005
Carcase meat,Mutton and lamb,54,2006
Carcase meat,Mutton and lamb,55,2007
Carcase meat,Mutton and lamb,45,2008
Carcase meat,Mutton and lamb,46,2009
Carcase meat,Mutton and lamb,44,2010
Carcase meat,Mutton and lamb,37,2011
Carcase meat,Mutton and lamb,36,2012
Carcase meat,Mutton and lamb,35,2013
Carcase meat,Mutton and lamb,37,2014
Carcase meat,Pork,91,1974
Carcase meat,Pork,79,1975
Carcase meat,Pork,81,1976
Carcase meat,Pork,94,1977
Carcase meat,Pork,95,1978
Carcase meat,Pork,104,1979
Carcase meat,Pork,118,1980
Carcase meat,Pork,109,1981
Carcase meat,Pork,115,1982
Carcase meat,Pork,101,1983
Carcase meat,Pork,93,1984
Carcase meat,Pork,98,1985
Carcase meat,Pork,103,1986
Carcase meat,Pork,90,1987
Carcase meat,Pork,94,1988
Carcase meat,Pork,90,1989
Carcase meat,Pork,84,1990
Carcase meat,Pork,82,1991
Carcase meat,Pork,72,1992
Carcase meat,Pork,80,1993
Carcase meat,Pork,77,1994
Carcase meat,Pork,71,1995
Carcase meat,Pork,73,1996
Carcase meat,Pork,74,1997
Carcase meat,Pork,75,1998
Carcase meat,Pork,69,1999
Carcase meat,Pork,68,2000
Carcase meat,Pork,61,2001
Carcase meat,Pork,61,2002
Carcase meat,Pork,56,2003
Carcase meat,Pork,56,2004
Carcase meat,Pork,52,2005
Carcase meat,Pork,55,2006
Carcase meat,Pork,54,2007
Carcase meat,Pork,55,2008
Carcase meat,Pork,54,2009
Carcase meat,Pork,53,2010
Carcase meat,Pork,56,2011
Carcase meat,Pork,55,2012
Carcase meat,Pork,51,2013
Carcase meat,Pork,57,2014
